# Units: length:mm angle:deg time:s 
# Stage: Stage 83
stage,index,relative_time,date
"Stage 83",83,82.0000,"2018-09-11T12:12:14.220"
# Name : Surface component 1
id,x,y,z,displacement_x
1670,-6.9329,4.9618,0.0000,0.0114
1671,-6.8740,4.9617,0.0000,0.0115
1672,-6.8150,4.9614,0.0000,0.0116
1673,-6.7565,4.9615,0.0000,0.0116
1674,-6.6980,4.9613,0.0000,0.0116
1675,-6.6390,4.9614,0.0000,0.0116
1676,-6.5810,4.9611,0.0000,0.0117
1677,-6.5216,4.9609,0.0000,0.0118
1678,-6.4629,4.9608,0.0000,0.0118
1679,-6.4046,4.9593,0.0000,0.0119
1680,-6.3456,4.9602,0.0000,0.0121
1681,-6.2865,4.9603,0.0000,0.0122
1682,-6.2273,4.9592,0.0000,0.0123
1683,-6.1698,4.9599,0.0000,0.0124
1684,-6.1109,4.9591,0.0000,0.0124
1685,-6.0526,4.9592,0.0000,0.0126
1686,-5.9934,4.9593,0.0000,0.0128
1687,-5.9349,4.9591,0.0000,0.0129
1688,-5.8764,4.9591,0.0000,0.0130
1689,-5.8170,4.9588,0.0000,0.0131
1690,-5.7586,4.9588,0.0000,0.0132
1691,-5.6996,4.9590,0.0000,0.0133
1692,-5.6406,4.9587,0.0000,0.0134
1693,-5.5822,4.9580,0.0000,0.0135
1694,-5.5236,4.9582,0.0000,0.0136
1695,-5.4648,4.9584,0.0000,0.0138
1696,-5.4057,4.9578,0.0000,0.0139
1697,-5.3472,4.9581,0.0000,0.0140
1698,-5.2886,4.9579,0.0000,0.0141
1699,-5.2296,4.9576,0.0000,0.0142
1700,-5.1713,4.9578,0.0000,0.0143
1701,-5.1122,4.9573,0.0000,0.0144
1702,-5.0537,4.9575,0.0000,0.0145
1703,-4.9951,4.9566,0.0000,0.0146
1704,-4.9364,4.9566,0.0000,0.0147
1705,-4.8778,4.9572,0.0000,0.0148
1706,-4.8187,4.9567,0.0000,0.0149
1707,-4.7603,4.9569,0.0000,0.0150
1708,-4.7009,4.9562,0.0000,0.0151
1709,-4.6430,4.9563,0.0000,0.0152
1710,-4.5841,4.9565,0.0000,0.0153
1711,-4.5253,4.9560,0.0000,0.0154
1712,-4.4666,4.9560,0.0000,0.0155
1713,-4.4082,4.9559,0.0000,0.0156
1714,-4.3492,4.9556,0.0000,0.0157
1715,-4.2901,4.9558,0.0000,0.0158
1716,-4.2316,4.9558,0.0000,0.0160
1717,-4.1724,4.9547,0.0000,0.0161
1718,-4.1147,4.9550,0.0000,0.0161
1719,-4.0554,4.9554,0.0000,0.0161
1720,-3.9973,4.9549,0.0000,0.0163
1721,-3.9387,4.9554,0.0000,0.0165
1722,-3.8794,4.9547,0.0000,0.0165
1723,-3.8211,4.9550,0.0000,0.0166
1724,-3.7618,4.9544,0.0000,0.0167
1725,-3.7029,4.9545,0.0000,0.0168
1726,-3.6447,4.9550,0.0000,0.0169
1727,-3.5856,4.9552,0.0000,0.0171
1728,-3.5272,4.9547,0.0000,0.0172
1729,-3.4686,4.9541,0.0000,0.0173
1730,-3.4098,4.9540,0.0000,0.0174
1731,-3.3510,4.9538,0.0000,0.0174
1732,-3.2924,4.9538,0.0000,0.0174
1733,-3.2332,4.9541,0.0000,0.0176
1734,-3.1748,4.9537,0.0000,0.0177
1735,-3.1167,4.9533,0.0000,0.0178
1736,-3.0577,4.9532,0.0000,0.0179
1737,-2.9986,4.9525,0.0000,0.0179
1738,-2.9399,4.9524,0.0000,0.0181
1739,-2.8815,4.9521,0.0000,0.0182
1740,-2.8230,4.9525,0.0000,0.0183
1741,-2.7642,4.9530,0.0000,0.0184
1742,-2.7052,4.9533,0.0000,0.0184
1743,-2.6469,4.9528,0.0000,0.0185
1744,-2.5873,4.9519,0.0000,0.0186
1745,-2.5289,4.9521,0.0000,0.0187
1746,-2.4706,4.9524,0.0000,0.0188
1747,-2.4118,4.9524,0.0000,0.0188
1748,-2.3534,4.9525,0.0000,0.0190
1749,-2.2947,4.9522,0.0000,0.0191
1750,-2.2362,4.9519,0.0000,0.0191
1751,-2.1779,4.9524,0.0000,0.0192
1752,-2.1186,4.9526,0.0000,0.0192
1753,-2.0599,4.9519,0.0000,0.0193
1754,-2.0011,4.9523,0.0000,0.0194
1755,-1.9421,4.9514,0.0000,0.0194
1756,-1.8837,4.9519,0.0000,0.0195
1757,-1.8252,4.9518,0.0000,0.0196
1758,-1.7666,4.9513,0.0000,0.0196
1759,-1.7079,4.9515,0.0000,0.0198
1760,-1.6493,4.9515,0.0000,0.0198
1761,-1.5901,4.9516,0.0000,0.0199
1762,-1.5316,4.9514,0.0000,0.0199
1763,-1.4729,4.9517,0.0000,0.0201
1764,-1.4145,4.9515,0.0000,0.0201
1765,-1.3559,4.9513,0.0000,0.0202
1766,-1.2970,4.9519,0.0000,0.0202
1767,-1.2385,4.9514,0.0000,0.0203
1768,-1.1798,4.9514,0.0000,0.0204
1769,-1.1209,4.9513,0.0000,0.0205
1770,-1.0621,4.9512,0.0000,0.0206
1771,-1.0036,4.9514,0.0000,0.0206
1772,-0.9450,4.9517,0.0000,0.0207
1773,-0.8863,4.9515,0.0000,0.0208
1774,-0.8276,4.9516,0.0000,0.0209
1775,-0.7687,4.9515,0.0000,0.0209
1776,-0.7104,4.9513,0.0000,0.0210
1777,-0.6514,4.9516,0.0000,0.0211
1778,-0.5929,4.9516,0.0000,0.0211
1779,-0.5343,4.9517,0.0000,0.0212
1780,-0.4751,4.9515,0.0000,0.0213
1781,-0.4167,4.9505,0.0000,0.0213
1782,-0.3581,4.9500,0.0000,0.0214
1783,-0.2996,4.9516,0.0000,0.0214
1784,-0.2409,4.9516,0.0000,0.0214
1785,-0.1822,4.9520,0.0000,0.0215
1786,-0.1240,4.9514,0.0000,0.0215
1787,-0.0651,4.9519,0.0000,0.0216
1788,-0.0062,4.9520,0.0000,0.0216
